teams,height,time,ERA,SLG,lat,lon
Coors Field,1579.05,2008,4.83,0.435,39.756154,-104.994124
Coors Field,1579.05,2009,4.41,0.419,39.756154,-104.994124
Coors Field,1579.05,2010,4.25,0.414,39.756154,-104.994124
Coors Field,1579.05,2011,4.71,0.46,39.756154,-104.994124
Coors Field,1579.05,2012,5.97,0.502,39.756154,-104.994124
Coors Field,1579.05,2013,4.43,0.423,39.756154,-104.994124
Coors Field,1579.05,2014,5.05,0.452,39.756154,-104.994124
Coors Field,1579.05,2015,5.68,0.491,39.756154,-104.994124
Coors Field,1579.05,2016,5.4,0.469,39.756154,-104.994124
Coors Field,1579.05,2017,4.93,0.456,39.756154,-104.994124
Chase Field,653.2,2008,3.79,0.404,33.445777,-112.066643
Chase Field,653.2,2009,4.74,0.428,33.445777,-112.066643
Chase Field,653.2,2010,4.08,0.441,33.445777,-112.066643
Chase Field,653.2,2011,3.83,0.408,33.445777,-112.066643
Chase Field,653.2,2012,4.1,0.436,33.445777,-112.066643
Chase Field,653.2,2013,3.74,0.399,33.445777,-112.066643
Chase Field,653.2,2014,4.31,0.419,33.445777,-112.066643
Chase Field,653.2,2015,4.14,0.426,33.445777,-112.066643
Chase Field,653.2,2016,5.54,0.477,33.445777,-112.066643
Chase Field,653.2,2017,4.45,0.405,33.445777,-112.066643
Turner Field,621.8,2008,4.44,0.427,33.735725,-84.389481
Turner Field,621.8,2009,3.43,0.371,33.735725,-84.389481
Turner Field,621.8,2010,3.18,0.383,33.735725,-84.389481
Turner Field,621.8,2011,3.13,0.335,33.735725,-84.389481
Turner Field,621.8,2012,3.39,0.373,33.735725,-84.389481
Turner Field,621.8,2013,2.7,0.357,33.735725,-84.389481
Turner Field,621.8,2014,3.13,0.363,33.735725,-84.389481
Turner Field,621.8,2015,3.91,0.378,33.735725,-84.389481
Turner Field,621.8,2016,4.39,0.394,33.735725,-84.389481
Turner Field,621.8,2017,4.82,0.442,33.735725,-84.389481
Kauffman Stadium,538.2,2008,4.09,0.402,39.05193,-94.480325
Kauffman Stadium,538.2,2009,4.86,0.423,39.05193,-94.480325
Kauffman Stadium,538.2,2010,4.57,0.425,39.05193,-94.480325
Kauffman Stadium,538.2,2011,4.22,0.408,39.05193,-94.480325
Kauffman Stadium,538.2,2012,4.27,0.42,39.05193,-94.480325
Kauffman Stadium,538.2,2013,3.63,0.392,39.05193,-94.480325
Kauffman Stadium,538.2,2014,3.89,0.385,39.05193,-94.480325
Kauffman Stadium,538.2,2015,3.66,0.393,39.05193,-94.480325
Kauffman Stadium,538.2,2016,4.27,0.408,39.05193,-94.480325
Kauffman Stadium,538.2,2017,4.58,0.417,39.05193,-94.480325
Dodger Stadium,152.71,2008,3.01,0.333,34.074091,-118.239969
Dodger Stadium,152.71,2009,3.1,0.343,34.074091,-118.239969
Dodger Stadium,152.71,2010,3.81,0.354,34.074091,-118.239969
Dodger Stadium,152.71,2011,3.55,0.363,34.074091,-118.239969
Dodger Stadium,152.71,2012,2.85,0.351,34.074091,-118.239969
Dodger Stadium,152.71,2013,3.06,0.362,34.074091,-118.239969
Dodger Stadium,152.71,2014,3.19,0.369,34.074091,-118.239969
Dodger Stadium,152.71,2015,3.02,0.349,34.074091,-118.239969
Dodger Stadium,152.71,2016,2.97,0.342,34.074091,-118.239969
Dodger Stadium,152.71,2017,3.01,0.361,34.074091,-118.239969
Petco Park,4.55,2008,3.65,0.321,32.707927,-117.156904
Petco Park,4.55,2009,3.33,0.311,32.707927,-117.156904
Petco Park,4.55,2010,2.9,0.32,32.707927,-117.156904
Petco Park,4.55,2011,3.02,0.323,32.707927,-117.156904
Petco Park,4.55,2012,3.35,0.314,32.707927,-117.156904
Petco Park,4.55,2013,3.24,0.335,32.707927,-117.156904
Petco Park,4.55,2014,2.56,0.32,32.707927,-117.156904
Petco Park,4.55,2015,3.76,0.405,32.707927,-117.156904
Petco Park,4.55,2016,4.13,0.41,32.707927,-117.156904
Petco Park,4.55,2017,3.75,0.383,32.707927,-117.156904
AT&T Park,2.76,2008,4.38,0.364,37.778875,-122.389248
AT&T Park,2.76,2009,3.22,0.357,37.778875,-122.389248
AT&T Park,2.76,2010,3.07,0.321,37.778875,-122.389248
AT&T Park,2.76,2011,2.81,0.353,37.778875,-122.389248
AT&T Park,2.76,2012,3.09,0.321,37.778875,-122.389248
AT&T Park,2.76,2013,3.79,0.303,37.778875,-122.389248
AT&T Park,2.76,2014,3.3,0.323,37.778875,-122.389248
AT&T Park,2.76,2015,3.15,0.333,37.778875,-122.389248
AT&T Park,2.76,2016,3.5,0.347,37.778875,-122.389248
AT&T Park,2.76,2017,3.73,0.381,37.778875,-122.389248
Marlins Park,1.69,2008,4.3,0.362,25.778646,-80.219576
Marlins Park,1.69,2009,4.47,0.332,25.778646,-80.219576
Marlins Park,1.69,2010,3.83,0.327,25.778646,-80.219576
Marlins Park,1.69,2011,3.6,0.311,25.778646,-80.219576
Marlins Park,1.69,2012,3.05,0.345,25.778646,-80.219576
Marlins Park,1.69,2013,3.56,0.331,25.778646,-80.219576
Marlins Park,1.69,2014,3.39,0.351,25.778646,-80.219576
Marlins Park,1.69,2015,3.73,0.313,25.778646,-80.219576
Marlins Park,1.69,2016,3.53,0.347,25.778646,-80.219576
Marlins Park,1.69,2017,4.01,0.329,25.778646,-80.219576